neg,neu,pos,preds,Sentiment,Text,processed,wc,uwc,hit
0.5423662248655664,0.4135850647756588,0.04404871035877477,neg,neg,หมอ ออกมาพูดก็แค่โดน คนที่ใหญ่กว่าหมอสั่งมา แต่หมอลืมจรรยาบรร ที่จะช่วยคนที่ป่วยแบบนี้ ไม่ดีนะสาสสสสสสสส......เหียยยยยยยยจริง,หมอ| |ออกมา|พูด|ก็|แค่|โดน| |คน|ที่|ใหญ่|กว่า|หมอ|สั่ง|มา| |แต่|หมอ|ลืม|จรรยา|บร|ร| |ที่จะ|ช่วย|คน|ที่|ป่วย|แบบนี้| |ไม่|ดี|นะ|สา|สส|สสส|สสส.|.....|เหียยยยยยยย|จริง,40,32,True
0.054517468752701546,0.9087917737255194,0.036690757521779145,neu,neu,ชุดสเปเชียลหมู มีดังนี้ค่ะ - หมูสันคอสไลด์ - หมูนุ่ม - หมูสไลด์ - หมูชาบูสไลด์ - มิโดริอุด้ง - เห็ดชิเมจิ ขาว / ดำ - เห็ดเข็มทอง - รากบัว - ผักปวยเล้ง - ผักกาดขาว ค่ะ ^^,ชุด|สเปเชียล|หมู| |มี|ดังนี้|ค่ะ| |-| |หมู|สัน|คอ|สไลด์| |-| |หมู|นุ่ม| |-| |หมู|สไลด์| |-| |หมู|ชาบู|สไลด์| |-| |มิ|โด|ริ|อุด้ง| |-| |เห็ด|ชิ|เมจิ| |ขาว| |/| |ดำ| |-| |เห็ด|เข็ม|ทอง| |-| |ราก|บัว| |-| |ผัก|ปวยเล้ง| |-| |ผักกาด|ขาว| |ค่ะ| |^^,74,31,True
0.12735721968655575,0.554339413647193,0.31830336666625125,neu,pos,วันๆหาแต่ของกิน,วัน|ๆ|หา|แต่|ของกิน,5,5,False
0.8165143343600495,0.14771911425663506,0.03576655138331544,neg,neg,คือต้องงงมั้ยให้ผู้ชายมาขายผ้าอนามัยเนี่ยไม่เข้าใจมากๆ 55555555555,คือ|ต้อง|งง|มั้ย|ให้|ผู้ชาย|มา|ขาย|ผ้าอนามัย|เนี่ย|ไม่|เข้าใจ|มาก|ๆ| |55555555555,16,16,True
0.17437599520261474,0.6911950064970483,0.13442899830033692,neu,neu,มันหมดสิ้นเดือนอาทิตหน้าไหมส่งท้าย,มัน|หมด|สิ้นเดือน|อา|ทิต|หน้า|ไหม|ส่งท้าย,8,8,True
0.011996204745716076,0.7460043593797355,0.2419994358745485,neu,pos,อยากไป ล้ง1919 #Chang #ChangSensoryTrails #TheGreatBrew,อยาก|ไป| |ล้ง|1919| |#Chang| |#ChangSensoryTrails| |#TheGreatBrew,11,8,False
0.08363433189535355,0.6370754909556361,0.27929017714901044,neu,neu,ลอดูนาวาร่าอุทัยธานีคับ,ลอ|ดู|นาวา|ร่า|อุทัยธานี|คับ,6,6,True
0.3524442480630527,0.5696693706027945,0.07788638133415277,neu,neu,เป็นนกลิเวอร์เบิร์ดครับ แต่มีนักข่าวท่านหนึ่งเป็นคนเริ่มเรียกว่าหงส์แดง หงส์ตัวจริงคือสวอนซีครับ ถ้าหงษ์ทองนี่เมาแน่นวลครับ,เป็น|นก|ลิ|เวอร์|เบิร์ด|ครับ| |แต่|มี|นักข่าว|ท่าน|หนึ่ง|เป็น|คน|เริ่ม|เรียก|ว่า|หงส์แดง| |หงส์|ตัวจริง|คือ|สว|อน|ซี|ครับ| |ถ้า|หงษ์|ทอง|นี่|เมา|แน่|นวล|ครับ,35,30,True
0.47721056932311345,0.4208886251912143,0.10190080548567225,neg,neu,ตอนนี้เป็นมะเร็งท่อน้ำดีในตับ ทำการผ่าต้ดเอาถุงน้ำดีออกเมือ่ มีนาคม 2559 และให้เคมีไป 16 ครั้ง อาการของโรคสงบ หลังจากนั้นสี่เดือนปรากฏมีค่ามะเร็งเพิ่มสูงทำ ct ก็ไม่พบตำแหน่ง เลยทำ pet ct ปรากฎพบที่ต่อมน้ำเหลือง เลยให้ยาเคมีอีกรอบ ตอนนี้พบปัญหาใหม่คือมีก้อนเนื้อมะเร็งอุดตันท่อน้ำดี ทำให้ตัวเหลืองหมอเลยระบายน้ำดีผ่านสายยาง หน้าท้อง อยากเรียนถามว่ากรณีของผมจะอยู่ในเคสที่จะทำได้หรือไม่ สำคัญที่สุดคือท่อน้ำดีอุดตันจะยิงตำแหน่งตรงท่อน้ำดีที่มีก้อนเนื้ออุดตันให้ยุบลงไปได้หรือเปล่า และผมต้องติดต่อกับทางศูนย์ฯได้อย่างไร มีหลักฐานประวัติการรักษาอะไรบ้าง คิวรักษานานหรือเปล่า ขอตอบด้วยนะครับ,ตอนนี้|เป็น|มะเร็ง|ท่อ|น้ำดี|ใน|ตับ| |ทำ|การผ่า|ต้ด|เอา|ถุงน้ำดี|ออก|เมือ|่| |มีนาคม| |2559| |และ|ให้|เคมี|ไป| |16| |ครั้ง| |อาการ|ของ|โรค|สงบ| |หลังจากนั้น|สี่|เดือน|ปรากฏ|มีค่า|มะเร็ง|เพิ่ม|สูง|ทำ| |ct| |ก็|ไม่|พบ|ตำแหน่ง| |เลย|ทำ| |pet| |ct| |ปราก|ฎพบ|ที่|ต่อมน้ำเหลือง| |เลย|ให้ยา|เคมี|อี|กรอบ| |ตอนนี้|พบ|ปัญหา|ใหม่|คือ|มี|ก้อน|เนื้อ|มะเร็ง|อุดตัน|ท่อ|น้ำดี| |ทำให้|ตัวเหลือง|หมอ|เลย|ระบาย|น้ำดี|ผ่าน|สายยาง| |หน้าท้อง| |อยาก|เรียนถาม|ว่า|กรณี|ของ|ผม|จะ|อยู่|ใน|เคส|ที่จะ|ทำได้|หรือไม่| |สำคัญ|ที่สุด|คือ|ท่อ|น้ำดี|อุดตัน|จะ|ยิง|ตำแหน่ง|ตรง|ท่อ|น้ำดี|ที่|มี|ก้อน|เนื้อ|อุดตัน|ให้|ยุบ|ลง|ไป|ได้|หรือเปล่า| |และ|ผม|ต้อง|ติดต่อ|กับ|ทาง|ศูนย์|ฯ|ได้|อย่างไร| |มี|หลักฐาน|ประวัติ|การรักษา|อะไร|บ้าง| |คิว|รักษา|นาน|หรือเปล่า| |ขอ|ตอบ|ด้วย|นะ|ครับ,160,102,False
0.04554034935879894,0.7601625796396303,0.19429707100157081,neu,neu,กกต. เลื่อนแถลงผลเลือกตั้ง ส.ส. อย่างไม่เป็นทางการเป็นบ่าย 2 วันนี้ http://bit.ly/2TWu6sU,กกต.| |เลื่อน|แถลง|ผล|เลือกตั้ง| |ส.ส.| |อย่าง|ไม่|เป็นทางการ|เป็น|บ่าย| |2| |วันนี้| |http|://bit.ly/2TWu6sU,21,16,True
