Name,Address,Phone,Category,Map
กัปตัน คาเฟ่ แอนด์ พีที คาร์วอช,116 ถนนโพนพิสัย ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,083-667-2728,ล้าง อัดฉีดและขัดมันรถยนต์,"https://maps.google.com/maps/place?q=17.416769,102.798454"
ร้านกาแฟ คาเฟ่ปิ่นเกล้า - Maka Cafe,,,,
Tree Yoga & Cafe',61/2 ซอย ศุภราช 1 ถนน พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,093-636-1652,สอนโยคะ,"https://maps.google.com/maps/place?q=13.784064656801,100.55256545476"
SAYA cafe' & restaurant,54/5 หมู่ที่  8 ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ 36000,081-918-4640,ภัตตาคาร ร้านอาหารและสวนอาหาร,"https://maps.google.com/maps/place?q=15.820506782888,102.04140238132"
Part Cafe Chaiyaphum,8 ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ 36000,083-378-2300,ผู้จำหน่ายและขายส่งกาแฟ,"https://maps.google.com/maps/place?q=15.79922900238,102.02147053748"
Phuket Moto Cafe,75/23 ถนนบางกอก ตำบลตลาดเหนือ อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83000,"063-082-5566,                                                                                                                081-664-0566",อุปกรณ์และอะไหล่รถจักรยานยนต์และรถสกูตเตอร์,"https://maps.google.com/maps/place?q=7.879919,98.385293"
Naka Loft Cafe,155/1 หมู่ที่ 13 ตำบลหนองบัว อำเภอเมืองหนองบัวลำภู จังหวัดหนองบัวลำภู 39000,091-405-9888,ร้านของหวาน ไอศกรีม เบเกอรี่,"https://maps.google.com/maps/place?q=17.197570562782,102.44276660328"
Dog Cafe Bkk - CORGI IN THE GARDEN,,,,
Howl 1.1.11 cafe,13 ตำบลคอกกระบือ อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,081-454-5130,โรงแรม บ้านพักและโฮมสเตย์สัตว์เลี้ยง,
white house cafe & Studio,118 หมู่ที่ 7 ตำบลรอบเมือง อำเภอเมืองร้อยเอ็ด จังหวัดร้อยเอ็ด 45000,083-288-9939,ร้านของหวาน ไอศกรีม เบเกอรี่,"https://maps.google.com/maps/place?q=16.028015775372,103.64287342947"
เดอะ เดวิส แบงคอก,88 ซอยสุขุมวิท 24 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,02-260-8000,โรงแรมเขตนครหลวง,"https://maps.google.com/maps/place?q=13.72073,100.56569"
เครป คาเฟ่,ศูนย์การค้าเพียวเพลสรังสิตคลอง 2 ถนนรังสิต-นครนายก ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,083-123-5633,ภัตตาคาร ร้านอาหารและสวนอาหาร,
นานา กาแฟ,2182/5 ถนนมุขมนตรี ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,04-435-1204,เครื่องต้มและชงกาแฟ,"https://maps.google.com/maps/place?q=14.9698694,102.0588556"
เครป คาเฟ่,อาคารยูเนี่ยนมอลล์ ถนนลาดพร้าว แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,083-123-5633,ภัตตาคาร ร้านอาหารและสวนอาหาร,
ยูนีค มัลติ แบรนด์ คาเฟ่,162/40 หมู่ 2 ถนนชาตะผดุง ตำบลในเมือง อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,088-563-1362,ขายปลีกเสื้อผ้า,"https://maps.google.com/maps/place?q=16.42245,102.85001"
