Name,Address,Phone,Category,Map
ศูนย์คาสตรอล - ห้างหุ้นส่วนจำกัดโชคไพบูลย์คาร์แคร์,138 ถนนมาลัยแมน ตำบลท่าพี่เลี้ยง อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี 72000,03-544-0809,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=14.4757453,100.1045264"
นันออโต้แอร์,21/75-76 ถนนหลักเมือง ตำบลนอกเมือง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์ 32000,04-451-2605,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=14.8715437,103.5079457"
รุ่งวัฒนาแอร์เซอร์วิส,169 ตำบลบ้านใหญ่ อำเภอเมืองนครนายก จังหวัดนครนายก 26000,03-731-4212,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=14.2215394,101.2277048"
จิระออโต้แอร์ ศูนย์ซ่อมแอร์รถยนต์,63/2 หมู่ 10 ถนนถราชพฤกษ์ ตำบลบางกร่าง อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11110,092-470-5554,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.8549386,100.4490918"
ราชาออโต้แอร์,104/1 ถนนอุบลราชธานี - ศรีสะเกษ ตำบลโพธิ์ อำเภอเมืองศรีสะเกษ จังหวัดศรีสะเกษ 33000,04-563-3408,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=15.1130251,104.3445591"
ห้างหุ้นส่วนจำกัด ทองไทย ออโต้ พลัส,10/10 ตำบลกุดน้ำใส อำเภอน้ำพอง จังหวัดขอนแก่น 40310,04-347-3254,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=16.7067415,102.8035138"
ประยงค์ออโต้แอร์ ศูนย์บริการซ่อมรถยนต์โดยช่างผู้เชี่ยวชาญเฉพาะทาง,288 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,094-556-5364,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.7205093,100.6825182"
บริษัท มาสเตอร์ มอเตอร์ เซอร์วิสเซส (ประเทศไทย) จำกัด,"29,29/9 ซอยประเสริฐมนูกิจ 27 ถนนประเสริฐมนูกิจ แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230",02-792-3013,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.834567,100.6114144"
อู่มงคลเจริญยนต์ ช่างเล็ก,4/1 ถนนพุ่งโพธิ์ ตำบลในเมือง อำเภอเมืองสุุรินทร์ จังหวัดสุรินทร์ 32000,082-754-5095,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=14.893876256701,103.49054442167"
ห้างหุ้นส่วนจำกัด อู่ ป.เจริญยนต์บัวใหญ่,355 ถนนนิเวศรัตน์ ตำบลบัวใหญ่ อำเภอบัวใหญ่ จังหวัดนครราชสีมา 30120,083-675-8585,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.74916,100.54805"
ออโต้แบคส์ - สาขาสายไหม,168 ซอยสายไหม 17 แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,02-991-2223-4,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.9219817,100.6453595"
ออโต้แบคส์ - สาขาพุทธมณฑลสาย4,102 หมู่ 6 ตำบลกระทุ่มล้ม อำเภอสามพราน จังหวัดนครปฐม 73220,02-429-2732-3,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.7320409,100.3303802"
ออโต้แบคส์ - สาขาลาดพร้าว101,202 ซอยลาดพร้าว101 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,02-370-3270-1,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.7868933,100.6298476"
อู่มงคลเจริญยนต์ ช่างเล็ก,4/1 ถนนพุ่งโพธิ์ ตำบลในเมือง อำเภอเมืองสุุรินทร์ จังหวัดสุรินทร์ 32000,082-754-5095,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=14.893876256701,103.49054442167"
ออโต้แบคส์ - สำนักงานใหญ่,729/170 ถนนรัชดาภิเษก แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,02-295-0732-7,ศูนย์บริการซ่อมรถยนต์,"https://maps.google.com/maps/place?q=13.6928841,100.5293632"
